Company Name,year,count
AEB,1997,1
AEB,1999,1
AEB,2003,1
AMBA,1958,7
AMBA,1967,1
ASI,1967,1
ASI,1970,1
ASI,1971,2
ASI,1972,1
ASI,1974,2
ASI,1975,1
ASI,1988,1
Arianespace,1984,3
Arianespace,1985,4
Arianespace,1986,3
Arianespace,1987,2
Arianespace,1988,6
Arianespace,1989,7
Arianespace,1990,6
Arianespace,1991,8
Arianespace,1992,7
Arianespace,1993,7
Arianespace,1994,8
Arianespace,1995,11
Arianespace,1996,10
Arianespace,1997,11
Arianespace,1998,10
Arianespace,1999,10
Arianespace,2000,12
Arianespace,2001,8
Arianespace,2002,12
Arianespace,2003,4
Arianespace,2004,3
Arianespace,2005,5
Arianespace,2006,5
Arianespace,2007,6
Arianespace,2008,6
Arianespace,2009,7
Arianespace,2010,6
Arianespace,2011,7
Arianespace,2012,9
Arianespace,2013,7
Arianespace,2014,11
Arianespace,2015,12
Arianespace,2016,11
Arianespace,2017,11
Arianespace,2018,11
Arianespace,2019,9
Arianespace,2020,4
Arm??e de l'Air,1965,1
Arm??e de l'Air,1966,1
Arm??e de l'Air,1967,2
Blue Origin,2015,2
Blue Origin,2016,4
Blue Origin,2017,1
Blue Origin,2018,2
Blue Origin,2019,3
Boeing,1989,5
Boeing,1990,11
Boeing,1991,5
Boeing,1992,11
Boeing,1993,7
Boeing,1994,3
Boeing,1995,3
Boeing,1996,10
Boeing,1997,11
Boeing,1998,13
Boeing,1999,11
Boeing,2000,7
Boeing,2001,7
Boeing,2002,4
Boeing,2003,9
Boeing,2004,8
Boeing,2005,3
Boeing,2006,8
CASC,1969,1
CASC,1970,1
CASC,1971,1
CASC,1972,1
CASC,1973,1
CASC,1974,2
CASC,1975,3
CASC,1976,3
CASC,1977,1
CASC,1978,2
CASC,1979,1
CASC,1981,1
CASC,1982,1
CASC,1983,1
CASC,1984,3
CASC,1985,1
CASC,1986,2
CASC,1987,2
CASC,1988,4
CASC,1990,5
CASC,1991,1
CASC,1992,4
CASC,1993,1
CASC,1994,5
CASC,1995,3
CASC,1996,4
CASC,1997,6
CASC,1998,6
CASC,1999,4
CASC,2000,4
CASC,2001,1
CASC,2002,4
CASC,2003,6
CASC,2004,8
CASC,2005,5
CASC,2006,6
CASC,2007,10
CASC,2008,9
CASC,2011,2
CASC,2012,1
CASC,2013,1
CASC,2015,2
CASC,2016,22
CASC,2017,16
CASC,2018,37
CASC,2019,27
CASC,2020,19
CASIC,2002,1
CASIC,2003,1
CASIC,2013,1
CASIC,2014,1
CASIC,2017,1
CECLES,1968,1
CECLES,1969,1
CECLES,1970,1
CECLES,1971,1
CNES,1970,2
CNES,1971,2
CNES,1973,1
CNES,1975,3
Douglas,1989,1
EER,1995,1
