 Rocket,Country
50.00,United States of America
29.75,China
65.00,Kazakhstan
145.00,United States of America
64.68,China
48.50,Kazakhstan
50.00,United States of America
90.00,Japan
46.00,United States of America
28.30,China
29.15,China
29.75,China
7.50,New Zealand
64.68,China
50.00,United States of America
29.15,China
29.75,China
50.00,United States of America
7.50,New Zealand
30.80,China
50.00,United States of America
29.75,China
50.00,United States of America
5.30,China
12.00,United States of America
112.50,Japan
120.00,United States of America
48.50,Kazakhstan
50.00,United States of America
29.15,China
48.50,Kazakhstan
153.00,United States of America
30.80,China
48.50,Kazakhstan
50.00,United States of America
29.15,China
50.00,United States of America
48.50,Russia
29.75,China
200.00,France
50.00,United States of America
85.00,United States of America
115.00,United States of America
90.00,Japan
48.50,Kazakhstan
7.50,New Zealand
50.00,United States of America
50.00,United States of America
200.00,France
29.75,China
29.15,China
50.00,United States of America
41.80,Russia
65.00,Kazakhstan
64.68,China
50.00,United States of America
21.00,India
48.50,Russia
48.50,Kazakhstan
7.50,New Zealand
50.00,United States of America
64.68,China
31.00,India
200.00,France
50.00,United States of America
29.15,China
64.68,China
85.00,United States of America
29.15,China
7.50,New Zealand
40.00,United States of America
65.00,Kazakhstan
64.68,China
48.50,Russia
29.75,China
112.50,Japan
5.30,China
64.68,China
41.80,Russia
164.00,United States of America
48.50,Kazakhstan
7.50,New Zealand
29.15,China
7.50,China
153.00,United States of America
50.00,United States of America
200.00,France
65.00,Kazakhstan
48.50,Kazakhstan
48.50,Russia
30.80,China
50.00,United States of America
62.00,India
65.00,Kazakhstan
37.00,France
7.50,New Zealand
90.00,United States of America
29.15,China
200.00,France
50.00,United States of America
5.30,China
65.00,Kazakhstan
50.00,United States of America
64.68,China
21.00,India
7.50,New Zealand
50.00,United States of America
64.68,China
29.15,China
85.00,United States of America
90.00,United States of America
48.50,Kazakhstan
21.00,India
29.15,China
7.50,New Zealand
37.00,France
29.15,China
50.00,United States of America
50.00,United States of America
200.00,France
5.30,China
350.00,United States of America
39.00,Japan
50.00,United States of America
29.15,China
48.50,Russia
50.00,United States of America
5.30,China
65.00,Kazakhstan
47.00,India
7.50,New Zealand
29.15,China
29.75,China
50.00,United States of America
200.00,France
50.00,United States of America
41.80,Russia
21.00,India
37.00,France
29.75,China
85.00,United States of America
50.00,United States of America
62.00,India
7.50,New Zealand
48.50,Russia
29.15,China
90.00,Japan
30.80,China
35.00,Russia
64.68,China
200.00,France
153.00,United States of America
30.80,China
50.00,United States of America
200.00,France
112.50,Japan
21.00,India
50.00,United States of America
30.80,China
37.00,France
350.00,United States of America
50.00,United States of America
64.68,China
50.00,United States of America
50.00,United States of America
48.50,Kazakhstan
69.70,China
30.80,China
62.00,United States of America
30.80,China
90.00,Japan
69.70,China
62.00,United States of America
29.75,China
62.00,United States of America
85.00,United States of America
64.68,China
50.00,United States of America
64.68,China
109.00,United States of America
29.15,China
5.30,China
41.80,Russia
62.00,United States of America
65.00,Kazakhstan
153.00,United States of America
31.00,India
64.68,China
200.00,France
62.00,United States of America
64.68,China
62.00,United States of America
47.00,India
29.75,China
62.00,United States of America
145.00,United States of America
90.00,Japan
62.00,United States of America
48.50,Kazakhstan
90.00,United States of America
29.75,China
48.50,Russia
62.00,United States of America
200.00,France
30.80,China
7.50,New Zealand
115.00,United States of America
5.30,China
39.00,Japan
29.75,China
31.00,India
29.75,China
62.00,United States of America
30.80,China
29.75,China
62.00,United States of America
90.00,Japan
62.00,United States of America
29.15,China
29.75,China
35.00,Russia
30.80,China
64.68,China
85.00,United States of America
37.00,France
45.00,United States of America
62.00,United States of America
123.00,United States of America
48.50,Kazakhstan
41.80,Russia
62.00,United States of America
90.00,Japan
62.00,United States of America
29.75,China
200.00,France
30.80,China
65.00,Kazakhstan
145.00,United States of America
65.00,Kazakhstan
62.00,United States of America
31.00,India
46.00,United States of America
62.00,United States of America
109.00,United States of America
65.00,Kazakhstan
62.00,United States of America
37.00,France
48.50,Kazakhstan
62.00,United States of America
200.00,France
62.00,United States of America
62.00,United States of America
31.00,India
29.15,China
64.68,China
48.50,Kazakhstan
65.00,Kazakhstan
62.00,India
62.00,United States of America
200.00,France
90.00,Japan
7.50,New Zealand
62.00,United States of America
47.00,India
200.00,France
62.00,United States of America
109.00,United States of America
29.15,China
62.00,United States of America
90.00,Japan
62.00,United States of America
37.00,France
109.00,United States of America
62.00,United States of America
31.00,India
200.00,France
109.00,United States of America
62.00,United States of America
29.15,China
29.75,China
200.00,France
29.75,China
130.00,United States of America
40.00,United States of America
29.15,China
112.50,Japan
31.00,India
37.00,France
145.00,United States of America
29.75,China
109.00,United States of America
5.30,China
90.00,Japan
85.00,United States of America
200.00,France
25.00,India
37.00,France
115.00,United States of America
47.00,India
62.00,United States of America
64.68,China
200.00,France
164.00,United States of America
29.75,China
62.00,United States of America
64.68,China
29.15,China
123.00,United States of America
62.00,United States of America
64.68,China
153.00,United States of America
31.00,India
200.00,France
62.00,United States of America
350.00,United States of America
65.00,Kazakhstan
41.80,Russia
64.68,China
48.50,Russia
62.00,United States of America
29.75,China
62.00,United States of America
31.00,India
62.00,United States of America
29.75,China
48.50,Kazakhstan
69.70,China
48.50,Russia
109.00,United States of America
65.00,Kazakhstan
35.00,Kazakhstan
31.00,India
200.00,France
62.00,United States of America
90.00,Japan
41.80,Russia
48.50,Russia
109.00,United States of America
65.00,Kazakhstan
200.00,France
31.00,India
56.50,United States of America
29.15,China
62.00,United States of America
21.00,India
109.00,United States of America
37.00,France
200.00,France
15.00,United States of America
109.00,United States of America
109.00,United States of America
123.00,United States of America
200.00,France
31.00,India
5.30,China
41.80,Russia
153.00,United States of America
47.00,India
200.00,France
112.50,Japan
200.00,France
109.00,United States of America
31.00,India
56.50,United States of America
37.00,France
200.00,France
120.00,United States of America
56.50,United States of America
200.00,France
56.50,United States of America
41.80,Russia
31.00,India
90.00,Japan
29.00,Russia
164.00,United States of America
123.00,United States of America
56.50,United States of America
56.50,United States of America
37.00,France
90.00,Japan
153.00,United States of America
56.50,United States of America
62.00,India
145.00,United States of America
200.00,France
350.00,United States of America
90.00,Japan
29.00,Russia
109.00,United States of America
80.00,United States of America
