Country,year,count
Australia,1967,1
Australia,1968,1
Australia,1969,1
Australia,1970,2
Australia,1971,1
Brazil,1997,1
Brazil,1999,1
Brazil,2003,1
China,1969,1
China,1970,1
China,1971,1
China,1972,1
China,1973,1
China,1974,2
China,1975,3
China,1976,3
China,1977,1
China,1978,2
China,1979,1
China,1981,1
China,1982,1
China,1983,1
China,1984,3
China,1985,1
China,1986,2
China,1987,2
China,1988,4
China,1990,5
China,1991,1
China,1992,4
China,1993,1
China,1994,5
China,1995,3
China,1996,4
China,1997,6
China,1998,6
China,1999,4
China,2000,4
China,2001,1
China,2002,5
China,2003,7
China,2004,8
China,2005,5
China,2006,6
China,2007,10
China,2008,9
China,2011,2
China,2012,1
China,2013,2
China,2014,1
China,2015,2
China,2016,22
China,2017,18
China,2018,39
China,2019,34
China,2020,22
France,1965,1
France,1966,1
France,1967,2
France,1970,2
France,1971,3
France,1973,1
France,1975,3
France,1979,1
France,1980,1
France,1981,2
France,1982,1
France,1983,2
France,1984,4
France,1985,4
France,1986,3
France,1987,2
France,1988,7
France,1989,7
France,1990,6
France,1991,8
France,1992,7
France,1993,7
France,1994,8
France,1995,11
France,1996,11
France,1997,12
France,1998,11
France,1999,10
France,2000,12
France,2001,8
France,2002,12
France,2003,4
France,2004,3
France,2005,5
France,2006,5
France,2007,6
France,2008,6
France,2009,7
France,2010,6
France,2011,7
France,2012,10
France,2013,7
France,2014,11
France,2015,12
France,2016,11
France,2017,11
France,2018,11
France,2019,9
France,2020,2
India,1979,1
India,1980,1
India,1981,1
India,1983,1
India,1987,1
India,1988,1
India,1989,1
India,1993,1
India,1994,2
India,1996,1
India,1997,1
India,1999,1
India,2001,2
India,2002,1
India,2003,2
India,2004,1
India,2005,1
India,2006,1
India,2007,3
India,2008,3
India,2009,2
India,2010,3
India,2011,3
India,2012,3
India,2013,3
India,2014,5
India,2015,5
India,2016,7
India,2017,5
India,2018,7
India,2019,6
Iran,2008,1
Iran,2009,1
Iran,2011,1
Iran,2012,3
Iran,2015,2
Iran,2017,1
Iran,2019,3
Iran,2020,2
Israel,1988,1
Israel,1990,1
Israel,1995,1
Israel,1998,1
Israel,2002,1
Israel,2004,1
Israel,2007,1
Israel,2010,1
Israel,2014,1
Israel,2016,1
Israel,2020,1
Japan,1966,2
Japan,1967,1
Japan,1969,1
Japan,1970,2
Japan,1971,3
Japan,1972,1
Japan,1974,1
Japan,1975,2
Japan,1976,2
Japan,1977,2
Japan,1978,3
Japan,1979,1
Japan,1980,2
Japan,1981,3
Japan,1982,1
Japan,1983,3
Japan,1984,3
Japan,1985,2
Japan,1986,2
Japan,1987,3
Japan,1988,2
Japan,1989,2
Japan,1990,5
Japan,1991,3
Japan,1992,1
Japan,1993,1
Japan,1994,2
Japan,1995,2
Japan,1996,1
Japan,1997,2
Japan,1998,2
Japan,1999,1
Japan,2000,1
Japan,2001,1
Japan,2002,3
Japan,2003,3
Japan,2005,2
Japan,2006,6
Japan,2007,2
Japan,2008,1
Japan,2009,3
Japan,2010,1
Japan,2011,4
Japan,2012,2
Japan,2013,3
Japan,2014,4
Japan,2015,4
Japan,2016,4
Japan,2017,7
Japan,2018,6
Japan,2019,2
Japan,2020,3
Kazakhstan,1957,2
Kazakhstan,1958,5
Kazakhstan,1959,4
Kazakhstan,1960,9
Kazakhstan,1961,7
Kazakhstan,1962,14
Kazakhstan,1963,16
Kazakhstan,1964,28
Kazakhstan,1965,43
Kazakhstan,1966,36
Kazakhstan,1967,38
Kazakhstan,1968,40
Kazakhstan,1969,38
Kazakhstan,1970,29
Kazakhstan,1971,31
Kazakhstan,1972,22
Kazakhstan,1973,17
Kazakhstan,1974,23
Kazakhstan,1975,23
Kazakhstan,1976,29
Kazakhstan,1977,25
Kazakhstan,1978,9
Kazakhstan,1979,3
Kazakhstan,1980,6
Kazakhstan,1981,10
Kazakhstan,1982,10
Kazakhstan,1983,6
Kazakhstan,1984,4
Kazakhstan,1985,12
Kazakhstan,1986,7
Kazakhstan,1987,12
Kazakhstan,1988,9
Kazakhstan,1989,4
Kazakhstan,1990,7
Kazakhstan,1991,4
Kazakhstan,1992,3
Kazakhstan,1993,6
Kazakhstan,1994,6
Kazakhstan,1995,4
Kazakhstan,1996,2
Kazakhstan,1997,3
Kazakhstan,1998,3
Kazakhstan,1999,3
Kazakhstan,2000,3
Kazakhstan,2001,2
Kazakhstan,2002,1
Kazakhstan,2003,2
Kazakhstan,2004,3
Kazakhstan,2005,1
Kazakhstan,2006,2
Kazakhstan,2007,3
Kazakhstan,2008,2
Kazakhstan,2009,4
Kazakhstan,2010,5
Kazakhstan,2011,4
Kazakhstan,2013,3
Kazakhstan,2014,1
Kazakhstan,2015,1
Kazakhstan,2016,11
Kazakhstan,2017,13
Kazakhstan,2018,9
Kazakhstan,2019,13
Kazakhstan,2020,6
Kenya,1967,1
Kenya,1970,1
Kenya,1971,2
Kenya,1972,1
Kenya,1974,2
Kenya,1975,1
Kenya,1988,1
Kiribati,1999,2
Kiribati,2000,3
