Company Name,decade,launches
AEB,1997-2006,3
AMBA,1957-1966,7
AMBA,1967-1976,1
ASI,1967-1976,8
ASI,1987-1996,1
Arianespace,1977-1986,10
Arianespace,1987-1996,72
Arianespace,1997-2006,80
Arianespace,2007-Present,117
Arm??e de l'Air,1957-1966,2
Arm??e de l'Air,1967-1976,2
Blue Origin,2007-Present,12
Boeing,1987-1996,55
Boeing,1997-2006,81
CASC,1967-1976,13
CASC,1977-1986,13
CASC,1987-1996,29
CASC,1997-2006,50
CASC,2007-Present,146
CASIC,1997-2006,2
CASIC,2007-Present,3
CECLES,1967-1976,4
CNES,1967-1976,8
Douglas,1987-1996,1
EER,1987-1996,1
ESA,1977-1986,8
ESA,1987-1996,2
ESA,1997-2006,2
ESA,2007-Present,1
Eurockot,1997-2006,7
Eurockot,2007-Present,6
ExPace,2007-Present,10
Exos,2007-Present,4
General Dynamics,1957-1966,107
General Dynamics,1967-1976,57
General Dynamics,1977-1986,61
General Dynamics,1987-1996,26
IAI,1987-1996,3
IAI,1997-2006,3
IAI,2007-Present,5
ILS,1987-1996,9
ILS,1997-2006,32
ILS,2007-Present,5
IRGC,2007-Present,1
ISA,2007-Present,13
ISAS,1967-1976,8
ISAS,1977-1986,9
ISAS,1987-1996,6
ISAS,1997-2006,7
ISRO,1977-1986,4
ISRO,1987-1996,7
ISRO,1997-2006,10
ISRO,2007-Present,55
JAXA,2007-Present,7
KARI,2007-Present,3
KCST,1997-2006,1
KCST,2007-Present,4
Khrunichev,2007-Present,1
Kosmotras,1997-2006,7
Kosmotras,2007-Present,15
Land Launch,2007-Present,7
Landspace,2007-Present,1
Lockheed,1987-1996,24
Lockheed,1997-2006,55
MHI,1967-1976,2
MHI,1977-1986,13
MHI,1987-1996,16
MHI,1997-2006,14
MHI,2007-Present,39
MITT,1987-1996,2
MITT,1997-2006,5
Martin Marietta,1957-1966,6
Martin Marietta,1967-1976,43
Martin Marietta,1977-1986,38
Martin Marietta,1987-1996,27
NASA,1957-1966,47
NASA,1967-1976,20
NASA,1977-1986,25
NASA,1987-1996,55
NASA,1997-2006,37
NASA,2007-Present,19
Northrop,1987-1996,15
Northrop,1997-2006,35
Northrop,2007-Present,33
OKB-586,1967-1976,2
OneSpace,2007-Present,1
RAE,1967-1976,2
RVSN USSR,1957-1966,215
RVSN USSR,1967-1976,845
RVSN USSR,1977-1986,536
RVSN USSR,1987-1996,180
RVSN USSR,1997-2006,1
Rocket Lab,2007-Present,13
Roscosmos,1967-1976,1
Roscosmos,2007-Present,54
SRC,1997-2006,3
Sandia,2007-Present,1
Sea Launch,1997-2006,23
Sea Launch,2007-Present,13
SpaceX,1997-2006,1
SpaceX,2007-Present,99
Starsem,1997-2006,1
ULA,1997-2006,1
ULA,2007-Present,139
US Air Force,1957-1966,110
US Air Force,1967-1976,44
US Air Force,1977-1986,7
US Navy,1957-1966,17
UT,1957-1966,2
UT,1967-1976,3
VKS RF,1987-1996,82
VKS RF,1997-2006,61
VKS RF,2007-Present,58
Virgin Orbit,2007-Present,1
Yuzhmash,1967-1976,1
Yuzhmash,1987-1996,1
i-Space,2007-Present,1
