Item,Location,Longitude,Latitude
0, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
1, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
2, Boca Chica Texas USA,-96.0370436,32.2177481
3, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
4, Cape Canaveral AFS Florida USA,-80.572293,28.488798
5, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
6, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
7, Wenchang Satellite Launch Center China,34.680158,31.884586
8, Cape Canaveral AFS Florida USA,-80.572293,28.488798
9, Tanegashima Space Center Japan,130.97126149653548,30.4034117
10, Wallops Flight Facility Virginia USA,-75.49639969025829,37.855614700000004
11, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
12, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
13, Palmachim Airbase Israel,34.680158,31.884586
14, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
15, M?hia Peninsula New Zealand,177.864944,-39.261508
16, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
17, Cape Canaveral AFS Florida USA,-80.572293,28.488798
18, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
19, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
20, Cape Canaveral AFS Florida USA,-80.572293,28.488798
21, M?hia Peninsula New Zealand,177.864944,-39.261508
22, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
23, Cape Canaveral AFS Florida USA,-80.572293,28.488798
24, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
25, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
26,"Xichang Satellite Launch Center, China",102.02793799844264,28.24576155
27, Mojave Air and Space Port California USA,-118.7559974,36.7014631
28, Plesetsk Cosmodrome Russia,40.574814,62.927843
29, Tanegashima Space Center Japan,130.97126149653548,30.4034117
30, Cape Canaveral AFS Florida USA,-80.572293,28.488798
31, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
32, Wenchang Satellite Launch Center China,34.680158,31.884586
33, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
34, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
35,"Launch Plateform, Shahrud Missile Test Site",None,None
36, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
37, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
38, Cape Canaveral AFS Florida USA,-80.572293,28.488798
